chr	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	length	feature	feature_init	type	genome	threshold	log10baseMean	stably_expressed
V	450563	451243	681	-	31.60659084109308	-8.371543951942417	1.5245223645570456	-5.491256898927025	3.990833596235501e-8	NA	681	YER139C	YER139C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	1.499777654373346	FALSE
IV	405410	405514	105	+	1.6666575340779164	-4.125920020306431	2.47372846652422	-1.6678952747403468	0.0953365178687835	NA	105	YDL025W-A	YDL025W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.22184636987009654	FALSE
XI	237147	237266	120	-	1.4316198407600167	-3.9062274696097155	2.6366179222944295	-1.4815295900782053	0.13846550588629442	NA	120	YKL106C-A	YKL106C-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.1558277086288931	FALSE
XV	637975	638235	261	+	1.1880246751010697	-3.6379212238457352	2.7592387131293874	-1.3184510664246918	0.18735269559737389	NA	261	YOR161W-B	YOR161W-B_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.07482546097257088	FALSE
VI	106415	106732	318	+	1.1751884665894983	-3.6240713467422716	3.0315902848042326	-1.1954357305166978	0.2319168325782416	NA	318	YFL015W-A	YFL015W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.07010752059608942	FALSE
XIV	31050	31445	396	+	0.9572657179536936	-3.3252378989854066	3.2620699714460852	-1.0193643692784795	0.3080300151775223	NA	396	YNL324W	YNL324W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.01896749396485183	FALSE
III	148238	148903	666	-	0.95298698178317	-3.3193537996980327	3.015371344624365	-1.1008109517309006	0.2709789442803126	NA	666	YCR018C	YCR018C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.020913031972743468	FALSE
XV	981812	982162	351	-	0.95298698178317	-3.3193537996980327	3.015371344624365	-1.1008109517309006	0.2709789442803126	NA	351	YOR345C	YOR345C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.020913031972743468	FALSE
XI	506517	506831	315	+	0.9487082456126461	-3.3137540250094055	2.9927285804812556	-1.1072684795480272	0.26817786798489446	NA	315	YKR032W	YKR032W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.022867324771367964	FALSE
XII	263577	263954	378	-	0.9487082456126461	-3.3137540250094055	2.9927285804812556	-1.1072684795480272	0.26817786798489446	NA	378	YLR062C	YLR062C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.022867324771367964	FALSE
